Student ID,Firstname,Last name,CA Score,Exam Score
263,Stephen,Montoya,27,45
694,Chad,Brock,20,61
180,Jaclyn,Vaughn,21,66
270,Mark,Mathis,12,42
562,Terry,Sanders,23,44
605,Keith,Meza,21,64
952,Adam,Jarvis,11,45
929,Bethany,Hartman,20,54
159,Alexis,Barnes,24,51
418,Bobby,Ware,30,61
295,Marissa,Wright,30,63
345,Angela,Martin,23,51
197,Jonathan,Rodriguez,28,69
595,Matthew,Whitney,24,54
252,Daniel,Harris,27,58
267,Sherry,Mosley,16,60
380,Michael,Anderson,24,40
301,Allison,Martin,18,55
668,Pamela,Weber,10,69
434,Ronnie,Williams,27,48
529,Martin,Rivera,23,57
181,Kathryn,Lewis,17,61
281,Allison,Miller,25,47
530,Taylor,Ross,26,56
171,Jessica,Ross,20,40
760,Daniel,Walker,17,51
788,Andrea,Stark,17,47
731,Paul,Leach,25,41
156,Steven,Fitzpatrick,29,70
661,Gregory,George,20,61
220,Stephanie,West,18,63
296,Sean,Clark,12,62
155,Natalie,Moreno,16,53
315,Anthony,Bradley,25,58
320,Samantha,Gordon,11,66
158,Joseph,Romero,10,69
329,Bailey,Johnson,16,43
233,Robyn,Hernandez,12,55
459,Shari,Schneider,17,48
690,Kathleen,Edwards,28,59
235,Aaron,Bell,11,46
816,Ariana,Harris,11,45
453,Victoria,Rubio,21,42
846,Matthew,Tucker,25,59
615,Charles,Graves,16,60
401,Jennifer,Peterson,19,51
282,Jessica,Byrd,27,63
203,Sean,Mccoy,12,58
162,Blake,Davis,18,46
385,Jessica,Davis,10,58
154,Christine,Scott,15,50
781,Zachary,Solomon,10,40
262,Anna,Murphy,27,70
153,Annette,Martinez,11,64
