Student ID,Firstname,Last name,CA Score,Exam Score
263,Stephen,Montoya,22,59
694,Chad,Brock,25,65
180,Jaclyn,Vaughn,23,40
270,Mark,Mathis,16,50
562,Terry,Sanders,19,64
605,Keith,Meza,19,50
952,Adam,Jarvis,29,59
929,Bethany,Hartman,20,41
159,Alexis,Barnes,21,55
418,Bobby,Ware,14,59
295,Marissa,Wright,14,64
345,Angela,Martin,23,62
197,Jonathan,Rodriguez,12,44
595,Matthew,Whitney,10,69
252,Daniel,Harris,18,61
267,Sherry,Mosley,15,69
380,Michael,Anderson,19,68
301,Allison,Martin,22,59
668,Pamela,Weber,22,46
434,Ronnie,Williams,10,48
529,Martin,Rivera,28,64
181,Kathryn,Lewis,23,67
281,Allison,Miller,28,45
530,Taylor,Ross,27,43
171,Jessica,Ross,26,64
760,Daniel,Walker,10,69
788,Andrea,Stark,30,68
731,Paul,Leach,21,66
156,Steven,Fitzpatrick,11,55
661,Gregory,George,20,51
220,Stephanie,West,29,60
296,Sean,Clark,17,42
155,Natalie,Moreno,20,54
315,Anthony,Bradley,10,44
320,Samantha,Gordon,18,69
158,Joseph,Romero,27,52
329,Bailey,Johnson,13,67
233,Robyn,Hernandez,26,50
459,Shari,Schneider,26,69
690,Kathleen,Edwards,14,40
235,Aaron,Bell,25,52
816,Ariana,Harris,17,55
453,Victoria,Rubio,26,54
846,Matthew,Tucker,11,59
615,Charles,Graves,10,58
401,Jennifer,Peterson,21,47
282,Jessica,Byrd,12,59
203,Sean,Mccoy,29,40
162,Blake,Davis,18,56
385,Jessica,Davis,28,40
154,Christine,Scott,18,55
781,Zachary,Solomon,27,50
262,Anna,Murphy,20,58
153,Annette,Martinez,24,44
